iter	Passed	Remaining
771	4179	1234
772	4183	1228
773	4187	1222
774	4191	1217
775	4196	1211
776	4200	1205
777	4205	1199
778	4209	1194
779	4214	1188
780	4218	1182
781	4223	1177
782	4227	1171
783	4232	1166
784	4237	1160
785	4241	1154
786	4246	1149
787	4250	1143
788	4255	1138
789	4260	1132
790	4265	1126
791	4269	1121
792	4274	1115
793	4279	1110
794	4283	1104
795	4288	1099
796	4293	1093
797	4298	1088
798	4302	1082
799	4307	1076
800	4311	1071
801	4316	1065
802	4320	1060
803	4325	1054
804	4329	1048
805	4334	1043
806	4338	1037
807	4343	1032
808	4347	1026
809	4352	1020
810	4356	1015
811	4361	1009
812	4365	1004
813	4370	998
814	4375	993
815	4380	987
816	4385	982
817	4390	976
818	4395	971
819	4399	965
820	4404	960
821	4409	954
822	4413	949
823	4418	943
824	4422	938
825	4427	932
826	4432	927
827	4436	921
828	4440	916
829	4445	910
830	4449	904
831	4454	899
832	4459	893
833	4463	888
834	4468	882
835	4472	877
836	4476	871
837	4481	866
838	4485	860
839	4489	855
840	4494	849
841	4499	844
842	4503	838
843	4508	833
844	4513	827
845	4518	822
846	4522	816
847	4527	811
848	4531	805
849	4535	800
850	4540	794
851	4544	789
852	4549	783
853	4553	778
854	4558	773
855	4563	767
856	4567	762
857	4572	756
858	4576	751
859	4581	745
860	4585	740
861	4590	734
862	4594	729
863	4598	723
864	4603	718
865	4608	713
866	4612	707
867	4617	702
868	4622	696
869	4627	691
870	4631	685
871	4636	680
872	4641	675
873	4645	669
874	4650	664
875	4655	658
876	4659	653
877	4664	648
878	4669	642
879	4674	637
880	4679	632
881	4684	626
882	4688	621
883	4693	615
884	4698	610
885	4703	605
886	4708	599
887	4713	594
888	4718	589
889	4723	583
890	4728	578
891	4733	573
892	4739	567
893	4744	562
894	4750	557
895	4756	552
896	4762	546
897	4767	541
898	4771	536
899	4777	530
900	4781	525
901	4786	520
902	4791	514
903	4796	509
904	4800	503
905	4805	498
906	4810	493
907	4814	487
908	4819	482
909	4825	477
910	4831	471
911	4838	466
912	4843	461
913	4848	456
914	4853	450
915	4858	445
916	4863	440
917	4868	434
918	4873	429
919	4878	424
920	4883	418
921	4901	414
922	4906	409
923	4912	404
924	4917	398
925	4923	393
926	4927	388
927	4932	382
928	4937	377
929	4942	372
930	4946	366
931	4951	361
932	4956	355
933	4960	350
934	4965	345
935	4970	339
936	4974	334
937	4979	329
938	4983	323
939	4988	318
940	4992	313
941	4997	307
942	5001	302
943	5006	296
944	5010	291
945	5015	286
946	5020	280
947	5024	275
948	5028	270
949	5033	264
950	5038	259
951	5042	254
952	5047	248
953	5051	243
954	5056	238
955	5061	232
956	5065	227
957	5070	222
958	5074	216
959	5079	211
960	5083	206
961	5087	200
962	5092	195
963	5096	190
964	5101	185
965	5105	179
966	5110	174
967	5114	169
968	5119	163
969	5124	158
970	5128	153
971	5133	147
972	5137	142
973	5141	137
974	5146	131
975	5150	126
976	5155	121
977	5160	116
978	5164	110
979	5169	105
980	5173	100
981	5177	94
982	5182	89
983	5186	84
984	5191	79
985	5195	73
986	5200	68
987	5204	63
988	5209	57
989	5213	52
990	5218	47
991	5222	42
992	5227	36
993	5231	31
994	5236	26
995	5240	21
996	5245	15
997	5250	10
998	5255	5
999	5259	0
